ID,millas_por_galon_ciudad,millas_por_galon_carretera,cilindros,litros_motor,caballos_fuerza,revoluciones_por_minuto,rev_motor_por_milla,capacidad_tanque,capacidad_pasajeros,longitud,distancia_entre_ruedas,ancho,espacio_para_dar_la_u,espacio_asiento_trasero,capacidad_baul,peso_en_libras,precio_promedio,fabricante,modelo,tipo,numero_de_airbags,tracción,transmisión_manual,hecho_o_no_en_USA
37,21,30,6,3,140,4800,1885,16,5,192,106,71,40,27.5,18,3325,20.2,Ford,Taurus,Midsize,Conductor,Delantera,No,Hecho en USA
38,18,26,8,4.6,190,4200,1415,20,6,212,114,78,43,30,21,3950,20.9,Ford,Crown_Victoria,Large,Conductor,Trasera,No,Hecho en USA
39,46,50,3,1,55,5700,3755,10.6,4,151,93,63,34,27.5,10,1695,8.4,Geo,Metro,Small,No tiene,Delantera,Si,Hecho fuera de USA
40,30,36,4,1.6,90,5400,3250,12.4,4,164,97,67,37,24.5,11,2475,12.5,Geo,Storm,Sporty,Conductor,Delantera,Si,Hecho fuera de USA
41,24,31,4,2.3,160,5800,2855,15.9,4,175,100,70,39,23.5,8,2865,19.8,Honda,Prelude,Sporty,Conductor y copiloto,Delantera,Si,Hecho fuera de USA
42,42,46,4,1.5,102,5900,2650,11.9,4,173,103,67,36,28,12,2350,12.1,Honda,Civic,Small,Conductor,Delantera,Si,Hecho fuera de USA
43,24,31,4,2.2,140,5600,2610,17,4,185,107,67,41,28,14,3040,17.5,Honda,Accord,Compact,Conductor y copiloto,Delantera,Si,Hecho fuera de USA
44,29,33,4,1.5,81,5500,2710,11.9,5,168,94,63,35,26,11,2345,8,Hyundai,Excel,Small,No tiene,Delantera,Si,Hecho fuera de USA
45,22,29,4,1.8,124,6000,2745,13.7,5,172,98,66,36,28,12,2620,10,Hyundai,Elantra,Small,No tiene,Delantera,Si,Hecho fuera de USA
46,26,34,4,1.5,92,5550,2540,11.9,4,166,94,64,34,23.5,9,2285,10,Hyundai,Scoupe,Sporty,No tiene,Delantera,Si,Hecho fuera de USA
47,20,27,4,2,128,6000,2335,17.2,5,184,104,69,41,31,14,2885,13.9,Hyundai,Sonata,Midsize,No tiene,Delantera,Si,Hecho fuera de USA
48,17,22,8,4.5,278,6000,1955,22.5,5,200,113,72,42,29,15,4000,47.9,Infiniti,Q45,Midsize,Conductor,Trasera,No,Hecho fuera de USA
49,18,24,6,3,185,5200,2325,18.5,5,188,103,70,40,27.5,14,3510,28,Lexus,ES300,Midsize,Conductor,Delantera,Si,Hecho fuera de USA
50,18,23,6,3,225,6000,2510,20.6,4,191,106,71,39,25,9,3515,35.2,Lexus,SC300,Midsize,Conductor y copiloto,Trasera,Si,Hecho fuera de USA
51,17,26,6,3.8,160,4400,1835,18.4,6,205,109,73,42,30,19,3695,34.3,Lincoln,Continental,Midsize,Conductor y copiloto,Delantera,No,Hecho en USA
52,18,26,8,4.6,210,4600,1840,20,6,219,117,77,45,31.5,22,4055,36.1,Lincoln,Town_Car,Large,Conductor y copiloto,Trasera,No,Hecho en USA
53,29,37,4,1.6,82,5000,2370,13.2,4,164,97,66,34,27,16,2325,8.3,Mazda,323,Small,No tiene,Delantera,Si,Hecho fuera de USA
54,28,36,4,1.8,103,5500,2220,14.5,5,172,98,66,36,26.5,13,2440,11.6,Mazda,Protege,Small,No tiene,Delantera,Si,Hecho fuera de USA
55,26,34,4,2.5,164,5600,2505,15.5,5,184,103,69,40,29.5,14,2970,16.5,Mazda,626,Compact,Conductor,Delantera,Si,Hecho fuera de USA
56,18,24,6,3,155,5000,2240,19.6,7,190,110,72,39,27.5,16.67387558,3735,19.1,Mazda,MPV,Van,No tiene,Doble tracción,No,Hecho fuera de USA
57,17,25,4,1.3,255,6500,2325,20,2,169,96,69,37,17.81295319,6.440330103,2895,32.5,Mazda,RX-7,Sporty,Conductor,Trasera,Si,Hecho fuera de USA
58,20,29,4,2.3,130,5100,2425,14.5,5,175,105,67,34,26,12,2920,31.9,Mercedes-Benz,190E,Compact,Conductor,Trasera,Si,Hecho fuera de USA
59,19,25,6,3.2,217,5500,2220,18.5,5,187,110,69,37,27,15,3525,61.9,Mercedes-Benz,300E,Midsize,Conductor y copiloto,Trasera,No,Hecho fuera de USA
60,23,26,4,1.6,100,5750,2475,11.1,4,166,95,65,36,19,6,2450,14.1,Mercury,Capri,Sporty,Conductor,Delantera,Si,Hecho en USA
61,19,26,6,3.8,140,3800,1730,18,5,199,113,73,38,28,15,3610,14.9,Mercury,Cougar,Midsize,No tiene,Trasera,No,Hecho en USA
62,29,33,4,1.5,92,6000,2505,13.2,5,172,98,67,36,26,11,2295,10.3,Mitsubishi,Mirage,Small,No tiene,Delantera,Si,Hecho fuera de USA
63,18,24,6,3,202,6000,2210,19,5,190,107,70,43,27.5,14,3730,26.1,Mitsubishi,Diamante,Midsize,Conductor,Delantera,No,Hecho fuera de USA
64,29,33,4,1.6,110,6000,2435,13.2,5,170,96,66,33,26,12,2545,11.8,Nissan,Sentra,Small,Conductor,Delantera,Si,Hecho fuera de USA
65,24,30,4,2.4,150,5600,2130,15.9,5,181,103,67,40,28.5,14,3050,15.7,Nissan,Altima,Compact,Conductor,Delantera,Si,Hecho fuera de USA
66,17,23,6,3,151,4800,2065,20,7,190,112,74,41,27,15.43149036,4100,19.1,Nissan,Quest,Van,No tiene,Delantera,No,Hecho fuera de USA
67,21,26,6,3,160,5200,2045,18.5,5,188,104,69,41,28.5,14,3200,21.5,Nissan,Maxima,Midsize,Conductor,Delantera,No,Hecho fuera de USA
68,24,31,4,2.3,155,6000,2380,15.2,5,188,103,67,39,28,14,2910,13.5,Oldsmobile,Achieva,Compact,No tiene,Delantera,No,Hecho en USA
69,23,31,4,2.2,110,5200,2565,16.5,5,190,105,70,42,28,16,2890,16.3,Oldsmobile,Cutlass_Ciera,Midsize,Conductor,Delantera,No,Hecho en USA
70,18,23,6,3.8,170,4800,1690,20,7,194,110,74,44,30.5,17.21743762,3715,19.5,Oldsmobile,Silhouette,Van,No tiene,Delantera,No,Hecho en USA
71,19,28,6,3.8,170,4800,1570,18,6,201,111,74,42,31.5,17,3470,20.7,Oldsmobile,Eighty-Eight,Large,Conductor,Delantera,No,Hecho en USA
72,23,30,4,1.8,92,5000,2360,15.9,4,173,97,67,39,24.5,8,2640,14.4,Plymouth,Laser,Sporty,No tiene,Doble tracción,Si,Hecho en USA
73,31,41,4,1.6,74,5600,3130,13.2,4,177,99,66,35,25.5,17,2350,9,Pontiac,LeMans,Small,No tiene,Delantera,Si,Hecho en USA
74,23,31,4,2,110,5200,2665,15.2,5,181,101,66,39,25,13,2575,11.1,Pontiac,Sunbird,Compact,No tiene,Delantera,Si,Hecho en USA
75,19,28,6,3.4,160,4600,1805,15.5,4,196,101,75,43,25,13,3240,17.7,Pontiac,Firebird,Sporty,Conductor y copiloto,Trasera,Si,Hecho en USA
76,19,27,6,3.4,200,5000,1890,16.5,5,195,108,72,41,28.5,16,3450,18.5,Pontiac,Grand_Prix,Midsize,No tiene,Delantera,Si,Hecho en USA
77,19,28,6,3.8,170,4800,1565,18,6,177,111,74,43,30.5,18,3495,24.4,Pontiac,Bonneville,Large,Conductor y copiloto,Delantera,No,Hecho en USA
78,20,26,4,2.1,140,6000,2910,18,5,184,99,67,37,26.5,14,2775,28.7,Saab,900,Compact,Conductor,Delantera,Si,Hecho fuera de USA
79,28,38,4,1.9,85,5000,2145,12.8,5,176,102,68,40,26.5,12,2495,11.1,Saturn,SL,Small,Conductor,Delantera,Si,Hecho en USA
80,33,37,3,1.2,73,5600,2875,9.2,4,146,90,60,32,23.5,10,2045,8.4,Subaru,Justy,Small,No tiene,Doble tracción,Si,Hecho fuera de USA
81,25,30,4,1.8,90,5200,3375,15.9,5,175,97,65,35,27.5,15,2490,10.9,Subaru,Loyale,Small,No tiene,Doble tracción,Si,Hecho fuera de USA
82,23,30,4,2.2,130,5600,2330,15.9,5,179,102,67,37,27,14,3085,19.5,Subaru,Legacy,Compact,Conductor,Doble tracción,Si,Hecho fuera de USA
83,39,43,3,1.3,70,6000,3360,10.6,4,161,93,63,34,27.5,10,1965,8.6,Suzuki,Swift,Small,No tiene,Delantera,Si,Hecho fuera de USA
84,32,37,4,1.5,82,5200,3505,11.9,5,162,94,65,36,24,11,2055,9.8,Toyota,Tercel,Small,Conductor,Delantera,Si,Hecho fuera de USA
85,25,32,4,2.2,135,5400,2405,15.9,4,174,99,69,39,23,13,2950,18.4,Toyota,Celica,Sporty,Conductor,Delantera,Si,Hecho fuera de USA
86,22,29,4,2.2,130,5400,2340,18.5,5,188,103,70,38,28.5,15,3030,18.2,Toyota,Camry,Midsize,Conductor,Delantera,Si,Hecho fuera de USA
87,18,22,4,2.4,138,5000,2515,19.8,7,187,113,71,41,35,17.16057181,3785,22.7,Toyota,Previa,Van,Conductor,Doble tracción,Si,Hecho fuera de USA
88,25,33,4,1.8,81,5500,2550,12.4,4,163,93,63,34,26,10,2240,9.1,Volkswagen,Fox,Small,No tiene,Delantera,Si,Hecho fuera de USA
89,17,21,5,2.5,109,4500,2915,21.1,7,187,115,72,38,34,15.93268568,3960,19.7,Volkswagen,Eurovan,Van,No tiene,Delantera,Si,Hecho fuera de USA
90,21,30,4,2,134,5800,2685,18.5,5,180,103,67,35,31.5,14,2985,20,Volkswagen,Passat,Compact,No tiene,Delantera,Si,Hecho fuera de USA
91,18,25,6,2.8,178,5800,2385,18.5,4,159,97,66,36,26,15,2810,23.3,Volkswagen,Corrado,Sporty,No tiene,Delantera,Si,Hecho fuera de USA
92,21,28,4,2.3,114,5400,2215,15.8,5,190,104,67,37,29.5,14,2985,22.7,Volvo,240,Compact,Conductor,Trasera,Si,Hecho fuera de USA
93,20,28,5,2.4,168,6200,2310,19.3,5,184,105,69,38,30,15,3245,26.7,Volvo,850,Midsize,Conductor y copiloto,Delantera,Si,Hecho fuera de USA
