"rules","support","confidence","lift","count"
"{chicken,domestic eggs} => {whole milk}",0.00396542958820539,0.639344262295082,2.50216904881501,39
"{whipped/sour cream,white bread} => {other vegetables}",0.00335536349771225,0.611111111111111,3.15831727681439,33
"{butter,coffee} => {whole milk}",0.00335536349771225,0.702127659574468,2.74788123036804,33
"{beef,butter} => {whole milk}",0.00366039654295882,0.631578947368421,2.47177833162293,36
"{beef,domestic eggs} => {whole milk}",0.00376207422470768,0.627118644067797,2.45432226995893,37
"{beef,tropical fruit} => {whole milk}",0.00457549567869853,0.6,2.34818941504178,45
"{butter,curd} => {whole milk}",0.00488052872394509,0.716417910447761,2.80380825676631,48
"{curd,domestic eggs} => {whole milk}",0.00477885104219624,0.734375,2.87408600278552,47
"{curd,pip fruit} => {whole milk}",0.00488052872394509,0.623376623376623,2.43967731432913,48
"{curd,tropical fruit} => {whole milk}",0.00650737163192679,0.633663366336634,2.47993601588571,64
"{butter,napkins} => {whole milk}",0.00315200813421454,0.63265306122449,2.47598203626855,31
"{butter,pork} => {whole milk}",0.00386375190645653,0.703703703703704,2.75404931393789,38
"{domestic eggs,pork} => {whole milk}",0.00345704117946111,0.618181818181818,2.41934667004305,34
"{pip fruit,pork} => {other vegetables}",0.00376207422470768,0.616666666666667,3.18702925205815,37
"{brown bread,whipped/sour cream} => {other vegetables}",0.00305033045246568,0.652173913043478,3.37053622426832,30
"{domestic eggs,margarine} => {whole milk}",0.00518556176919166,0.621951219512195,2.43409878388477,51
"{butter,domestic eggs} => {whole milk}",0.00599898322318251,0.621052631578947,2.43058202609588,59
"{butter,whipped/sour cream} => {whole milk}",0.0067107269954245,0.66,2.58300835654596,66
"{butter,pip fruit} => {whole milk}",0.00447381799694967,0.611111111111111,2.39167440420922,44
"{bottled water,butter} => {whole milk}",0.00538891713268937,0.602272727272727,2.35708407191694,53
"{butter,tropical fruit} => {whole milk}",0.00620233858668022,0.622448979591837,2.43604684213518,61
"{butter,root vegetables} => {whole milk}",0.00823589222165735,0.637795275590551,2.49610685850898,81
"{butter,yogurt} => {whole milk}",0.00935434672089476,0.638888888888889,2.50038687712782,92
"{domestic eggs,pip fruit} => {whole milk}",0.00538891713268937,0.623529411764706,2.44027527445519,53
"{domestic eggs,tropical fruit} => {whole milk}",0.00691408235892222,0.607142857142857,2.37614405093514,68
"{pip fruit,whipped/sour cream} => {other vegetables}",0.00559227249618709,0.604395604395604,3.12361049355269,55
"{pip fruit,whipped/sour cream} => {whole milk}",0.00599898322318251,0.648351648351648,2.53742079647372,59
"{onions,root vegetables,whole milk} => {other vegetables}",0.0032536858159634,0.680851063829787,3.51874420008721,32
"{cream cheese,other vegetables,yogurt} => {whole milk}",0.00345704117946111,0.653846153846154,2.55892436254553,34
"{frozen vegetables,other vegetables,root vegetables} => {whole milk}",0.00386375190645653,0.633333333333333,2.4786443825441,38
"{frozen vegetables,root vegetables,whole milk} => {other vegetables}",0.00386375190645653,0.622950819672131,3.21950673225192,38
"{frozen vegetables,other vegetables,yogurt} => {whole milk}",0.00355871886120996,0.673076923076923,2.63418684379687,35
"{curd,tropical fruit,yogurt} => {whole milk}",0.00396542958820539,0.75,2.93523676880223,39
"{curd,tropical fruit,whole milk} => {yogurt}",0.00396542958820539,0.609375,4.36822385204082,39
"{curd,other vegetables,yogurt} => {whole milk}",0.00366039654295882,0.6,2.34818941504178,36
"{brown bread,other vegetables,root vegetables} => {whole milk}",0.00315200813421454,0.775,3.03307799442897,31
"{margarine,root vegetables,whole milk} => {other vegetables}",0.0032536858159634,0.653061224489796,3.37512198783875,32
"{margarine,other vegetables,rolls/buns} => {whole milk}",0.00315200813421454,0.607843137254902,2.37888470151292,31
"{butter,domestic eggs,other vegetables} => {whole milk}",0.00305033045246568,0.666666666666667,2.60909935004642,30
"{butter,other vegetables,whipped/sour cream} => {whole milk}",0.00396542958820539,0.684210526315789,2.67775985925817,39
"{butter,tropical fruit,yogurt} => {other vegetables}",0.00305033045246568,0.666666666666667,3.44543702925206,30
"{butter,tropical fruit,yogurt} => {whole milk}",0.00335536349771225,0.733333333333333,2.87000928505107,33
"{butter,other vegetables,tropical fruit} => {whole milk}",0.00335536349771225,0.611111111111111,2.39167440420922,33
"{butter,root vegetables,yogurt} => {whole milk}",0.00305033045246568,0.789473684210526,3.08972291452866,30
"{butter,other vegetables,root vegetables} => {whole milk}",0.0041687849517031,0.630769230769231,2.46860938504393,41
"{butter,other vegetables,yogurt} => {whole milk}",0.00437214031520081,0.682539682539683,2.67122076314277,43
"{domestic eggs,other vegetables,whipped/sour cream} => {whole milk}",0.00355871886120996,0.7,2.73955431754875,35
"{domestic eggs,whipped/sour cream,whole milk} => {other vegetables}",0.00355871886120996,0.625,3.2300972149238,35
"{domestic eggs,other vegetables,tropical fruit} => {whole milk}",0.00305033045246568,0.638297872340426,2.49807384578913,30
"{domestic eggs,other vegetables,root vegetables} => {whole milk}",0.00457549567869853,0.625,2.44603064066852,45
"{fruit/vegetable juice,other vegetables,root vegetables} => {whole milk}",0.00396542958820539,0.6,2.34818941504178,39
"{fruit/vegetable juice,root vegetables,whole milk} => {other vegetables}",0.00396542958820539,0.609375,3.14934478455071,39
"{fruit/vegetable juice,other vegetables,yogurt} => {whole milk}",0.00508388408744281,0.617283950617284,2.41583273152447,50
"{other vegetables,pip fruit,whipped/sour cream} => {whole milk}",0.00366039654295882,0.654545454545455,2.56166118004558,36
"{pip fruit,whipped/sour cream,whole milk} => {other vegetables}",0.00366039654295882,0.610169491525424,3.15345084033239,36
"{citrus fruit,other vegetables,whipped/sour cream} => {whole milk}",0.00366039654295882,0.642857142857143,2.51591723040191,36
"{root vegetables,tropical fruit,whipped/sour cream} => {other vegetables}",0.00335536349771225,0.733333333333333,3.78998073217726,33
"{tropical fruit,whipped/sour cream,yogurt} => {whole milk}",0.00437214031520081,0.704918032786885,2.7588017717704,43
"{other vegetables,root vegetables,whipped/sour cream} => {whole milk}",0.00518556176919166,0.607142857142857,2.37614405093514,51
"{rolls/buns,whipped/sour cream,yogurt} => {whole milk}",0.00305033045246568,0.638297872340426,2.49807384578913,30
"{pip fruit,root vegetables,tropical fruit} => {other vegetables}",0.00335536349771225,0.634615384615385,3.27979101823032,33
"{pip fruit,root vegetables,yogurt} => {whole milk}",0.00355871886120996,0.673076923076923,2.63418684379687,35
"{other vegetables,pip fruit,root vegetables} => {whole milk}",0.00549059481443823,0.675,2.64171309192201,54
"{pip fruit,root vegetables,whole milk} => {other vegetables}",0.00549059481443823,0.613636363636364,3.17136817465246,54
"{other vegetables,pip fruit,yogurt} => {whole milk}",0.00508388408744281,0.625,2.44603064066852,50
"{pastry,tropical fruit,yogurt} => {whole milk}",0.00305033045246568,0.652173913043478,2.55237979895846,30
"{other vegetables,pastry,yogurt} => {whole milk}",0.00406710726995425,0.615384615384615,2.40839940004285,40
"{citrus fruit,root vegetables,tropical fruit} => {other vegetables}",0.00447381799694967,0.785714285714286,4.0606936416185,44
"{citrus fruit,root vegetables,tropical fruit} => {whole milk}",0.00355871886120996,0.625,2.44603064066852,35
"{citrus fruit,tropical fruit,yogurt} => {whole milk}",0.00386375190645653,0.612903225806452,2.39868811213946,38
"{citrus fruit,root vegetables,yogurt} => {whole milk}",0.00315200813421454,0.645833333333333,2.52756499535747,31
"{citrus fruit,root vegetables,whole milk} => {other vegetables}",0.0057956278596848,0.633333333333333,3.27316517778946,57
"{citrus fruit,other vegetables,yogurt} => {whole milk}",0.00477885104219624,0.626666666666667,2.45255338904364,47
"{sausage,tropical fruit,yogurt} => {whole milk}",0.00315200813421454,0.673913043478261,2.63745912559041,31
"{root vegetables,sausage,yogurt} => {whole milk}",0.0032536858159634,0.627450980392157,2.45562291769075,32
"{root vegetables,tropical fruit,yogurt} => {other vegetables}",0.00498220640569395,0.6125,3.16549527062533,49
"{root vegetables,tropical fruit,yogurt} => {whole milk}",0.00569395017793594,0.7,2.73955431754875,56
"{rolls/buns,root vegetables,tropical fruit} => {other vegetables}",0.00355871886120996,0.603448275862069,3.11871455234023,35
"{rolls/buns,root vegetables,tropical fruit} => {whole milk}",0.00376207422470768,0.637931034482759,2.49663817116511,37
"{other vegetables,tropical fruit,yogurt} => {whole milk}",0.00762582613116421,0.619834710743802,2.4258155114068,75
"{rolls/buns,root vegetables,yogurt} => {whole milk}",0.00467717336044738,0.647887323943662,2.53560359370709,46
"{other vegetables,root vegetables,yogurt} => {whole milk}",0.00782918149466192,0.606299212598425,2.37284232228632,77
"{citrus fruit,other vegetables,root vegetables,tropical fruit} => {whole milk}",0.00315200813421454,0.704545454545455,2.75734363129906,31
"{citrus fruit,root vegetables,tropical fruit,whole milk} => {other vegetables}",0.00315200813421454,0.885714285714286,4.57750919600631,31
"{citrus fruit,other vegetables,tropical fruit,whole milk} => {root vegetables}",0.00315200813421454,0.63265306122449,5.80423773987207,31
"{other vegetables,root vegetables,tropical fruit,yogurt} => {whole milk}",0.00355871886120996,0.714285714285714,2.79546358933546,35
"{root vegetables,tropical fruit,whole milk,yogurt} => {other vegetables}",0.00355871886120996,0.625,3.2300972149238,35
