coddoc,edad,estciv,educacion,mora,balance,vivienda,prestamo,dia,duracion,campana,pdias,previo,Adq_Ahorro
CODDOC0144,31,single,terciario,no,874,si,no,18,190,2,-1,0,0
CODDOC0148,48,married,secundaria,no,1152,si,no,21,168,5,-1,0,0
CODDOC0149,46,married,secundaria,no,179,si,no,29,194,4,436,1,0
CODDOC0151,41,married,desconocido,no,89,si,no,6,333,2,-1,0,0
CODDOC0158,55,married,secundaria,no,273,si,no,29,84,3,183,3,0
CODDOC0159,27,single,secundaria,no,50,no,no,29,168,1,-1,0,0
CODDOC0161,34,married,terciario,no,20,no,no,4,10,1,-1,0,0
CODDOC0165,28,single,terciario,no,80,no,no,20,676,2,146,2,1
CODDOC0166,31,single,secundaria,no,2104,si,no,3,455,1,-1,0,0
CODDOC0167,78,married,secundaria,no,499,no,no,16,80,4,-1,0,0
CODDOC0168,45,divorced,secundaria,no,1269,si,no,29,549,2,-1,0,0
CODDOC0170,32,single,secundaria,no,1143,si,si,10,412,1,-1,0,0
CODDOC0171,42,married,secundaria,no,2980,no,no,20,101,3,-1,0,0
CODDOC0173,40,single,secundaria,no,462,si,si,6,272,1,335,4,0
CODDOC0174,32,married,secundaria,no,1031,si,no,17,84,1,-1,0,0
CODDOC0175,42,married,terciario,no,9009,no,no,20,135,2,-1,0,0
CODDOC0178,37,married,secundaria,no,176,si,no,5,147,2,347,1,0
CODDOC0180,37,married,terciario,no,0,si,no,17,65,2,119,1,0
CODDOC0181,28,single,terciario,no,172,si,si,2,194,2,-1,0,0
CODDOC0182,32,single,secundaria,no,0,no,si,11,333,2,-1,0,0
CODDOC0184,40,divorced,secundaria,no,6,no,no,11,140,1,-1,0,0
CODDOC0185,34,married,secundaria,no,-62,si,no,16,109,3,-1,0,0
CODDOC0186,34,married,terciario,no,1972,si,no,23,61,2,-1,0,0
CODDOC0188,37,single,secundaria,no,21,si,no,2,96,1,271,2,0
CODDOC0190,56,married,secundaria,no,-1206,si,no,15,382,2,-1,0,1
CODDOC0193,30,single,terciario,no,1372,no,no,20,240,2,-1,0,0
CODDOC0197,27,single,secundaria,no,5563,si,no,30,435,2,-1,0,0
CODDOC0201,34,single,terciario,no,992,si,no,4,301,1,88,2,0
CODDOC0205,29,single,terciario,no,455,no,no,21,403,1,-1,0,1
CODDOC0207,42,married,secundaria,no,2030,si,si,9,196,1,-1,0,0
CODDOC0211,36,single,secundaria,no,9149,si,no,13,141,3,-1,0,0
CODDOC0212,25,single,secundaria,no,-350,si,no,23,95,3,-1,0,0
CODDOC0213,38,married,terciario,no,432,si,no,15,10,2,373,1,0
CODDOC0219,49,married,primaria,no,305,si,si,10,834,10,-1,0,0
CODDOC0220,49,married,secundaria,no,400,no,no,21,151,3,-1,0,0
CODDOC0222,37,married,secundaria,no,4030,si,no,26,178,5,-1,0,0
CODDOC0225,54,married,primaria,no,1691,si,no,20,186,1,-1,0,0
CODDOC0230,35,married,terciario,no,0,si,si,23,112,1,62,6,0
CODDOC0231,52,married,secundaria,no,142,no,no,25,112,6,-1,0,0
CODDOC0232,40,married,terciario,no,3571,no,no,9,222,3,-1,0,0
CODDOC0233,44,single,secundaria,no,33,si,no,13,195,3,351,10,0
CODDOC0235,30,single,secundaria,no,3096,no,no,26,123,1,-1,0,0
CODDOC0237,33,married,secundaria,no,3576,si,no,2,124,1,308,2,0
CODDOC0239,57,married,primaria,no,7082,no,no,6,69,3,-1,0,0
CODDOC0240,51,married,terciario,no,1634,si,no,22,168,4,-1,0,0
CODDOC0243,44,married,terciario,no,3762,no,no,28,125,12,-1,0,0
CODDOC0245,50,married,secundaria,no,606,si,no,14,673,2,-1,0,0
CODDOC0246,36,married,terciario,no,0,si,no,28,60,1,250,1,0
CODDOC0247,42,married,secundaria,no,-189,si,no,12,247,2,-1,0,0
CODDOC0248,32,single,secundaria,no,0,no,no,27,123,2,-1,0,0
CODDOC0249,42,married,terciario,no,484,si,no,11,144,2,-1,0,0
CODDOC0253,55,divorced,primaria,no,410,no,si,11,221,2,-1,0,0
CODDOC0256,55,married,secundaria,no,989,si,si,23,246,4,-1,0,0
CODDOC0257,34,married,terciario,no,415,no,si,23,361,2,-1,0,0
CODDOC0258,28,single,secundaria,no,16,no,no,12,119,4,-1,0,0
CODDOC0259,42,divorced,terciario,no,7190,si,no,29,375,2,-1,0,0
CODDOC0260,29,single,secundaria,no,482,no,si,10,1097,3,-1,0,1
CODDOC0261,54,married,secundaria,no,209,si,si,25,97,1,-1,0,0
CODDOC0263,39,single,terciario,no,5803,no,no,2,83,3,-1,0,0
CODDOC0264,53,married,terciario,no,624,no,si,21,180,4,-1,0,0
CODDOC0265,58,married,terciario,no,883,no,no,18,543,1,78,2,0
CODDOC0268,33,married,terciario,no,-988,si,si,15,83,3,-1,0,0
CODDOC0270,56,divorced,secundaria,no,1007,no,no,29,88,6,-1,0,0
CODDOC0271,40,married,secundaria,no,0,si,no,2,297,1,28,3,0
CODDOC0272,24,single,secundaria,no,174,si,si,18,487,1,-1,0,1
CODDOC0273,46,married,secundaria,no,12186,no,no,20,29,3,-1,0,0
CODDOC0275,35,single,terciario,no,0,si,no,21,262,4,-1,0,0
CODDOC0276,34,married,secundaria,no,4,si,no,15,644,1,-1,0,0
CODDOC0277,35,married,terciario,no,11219,no,no,12,699,2,79,1,0
CODDOC0282,32,married,secundaria,no,1148,si,no,20,121,1,-1,0,0
CODDOC0284,42,divorced,secundaria,no,63,no,no,16,88,6,-1,0,0
CODDOC0288,27,married,secundaria,no,-220,si,no,26,138,2,-1,0,0
CODDOC0290,34,married,terciario,no,69,no,si,4,120,3,1,6,1
CODDOC0291,50,married,primaria,no,4108,si,no,7,526,2,-1,0,1
CODDOC0292,47,married,secundaria,no,480,si,no,28,211,2,-1,0,0
CODDOC0293,53,married,secundaria,no,4994,no,no,18,62,6,-1,0,0
CODDOC0296,49,divorced,desconocido,si,-701,si,no,30,988,2,-1,0,1
CODDOC0297,29,married,terciario,no,451,no,no,28,451,1,-1,0,0
CODDOC0298,45,divorced,primaria,no,-311,si,no,23,1030,1,-1,0,1
CODDOC0302,65,divorced,primaria,no,1840,no,no,1,383,2,188,5,0
CODDOC0303,56,married,secundaria,no,345,si,no,22,605,1,-1,0,0
CODDOC0308,38,married,primaria,no,1147,si,si,8,249,5,-1,0,0
CODDOC0311,49,married,secundaria,no,8545,si,si,6,199,7,167,1,0
CODDOC0312,55,married,desconocido,no,559,no,no,28,271,2,-1,0,0
CODDOC0315,25,single,terciario,no,760,si,no,27,223,3,89,2,1
CODDOC0316,30,married,primaria,no,1317,si,no,21,395,2,-1,0,0
CODDOC0321,45,married,desconocido,no,1783,no,no,20,11,11,-1,0,0
CODDOC0323,60,single,terciario,no,179,no,si,29,79,4,-1,0,0
CODDOC0324,38,married,terciario,no,1199,no,no,4,178,1,1,1,1
CODDOC0329,35,married,secundaria,no,978,no,no,29,1370,3,209,3,1
CODDOC0330,48,single,secundaria,no,1150,si,no,28,357,1,-1,0,0
CODDOC0331,37,married,secundaria,no,121,no,no,22,22,6,-1,0,0
CODDOC0332,29,single,terciario,no,828,si,no,16,215,3,321,3,0
CODDOC0333,34,married,secundaria,no,244,si,no,31,56,4,-1,0,0
CODDOC0336,47,divorced,terciario,no,447,no,si,7,126,1,-1,0,0
CODDOC0338,33,single,terciario,no,1410,si,no,5,8,1,254,5,0
CODDOC0340,51,divorced,primaria,no,10924,no,no,6,106,2,-1,0,0
CODDOC0341,41,married,terciario,no,832,si,si,21,164,1,176,1,0
CODDOC0343,60,single,terciario,no,0,no,si,23,151,1,-1,0,0
CODDOC0344,41,single,terciario,no,3950,si,no,30,96,2,-1,0,0
CODDOC0346,36,single,secundaria,no,219,si,si,11,270,2,347,1,0
CODDOC0348,55,married,primaria,no,2587,no,no,4,328,2,94,2,1
CODDOC0349,44,married,secundaria,no,0,si,si,16,159,1,-1,0,0
CODDOC0350,47,married,terciario,no,2303,si,no,6,323,2,364,1,0
CODDOC0353,39,married,terciario,no,278,no,si,28,60,3,-1,0,0
CODDOC0358,27,single,desconocido,no,3196,no,no,9,10,2,-1,0,0
CODDOC0360,26,single,secundaria,no,2572,si,no,5,620,1,-1,0,0
CODDOC0364,49,married,secundaria,no,2039,si,no,18,283,2,-1,0,0
CODDOC0365,45,married,terciario,no,5450,no,no,8,188,2,-1,0,0
CODDOC0368,32,single,terciario,no,8436,si,no,17,245,1,149,2,0
CODDOC0369,60,single,primaria,no,11262,no,no,26,323,1,-1,0,1
CODDOC0373,38,married,secundaria,no,-140,no,no,25,456,3,-1,0,0
CODDOC0374,51,married,secundaria,no,-379,si,no,5,261,1,-1,0,0
CODDOC0376,30,single,secundaria,no,0,si,no,18,131,6,363,9,0
CODDOC0377,40,married,primaria,no,733,si,no,6,94,7,-1,0,0
CODDOC0378,37,married,terciario,no,393,si,no,14,567,3,275,4,1
CODDOC0379,53,divorced,primaria,no,7290,si,no,30,153,1,-1,0,0
CODDOC0380,27,single,secundaria,no,468,si,no,13,109,1,-1,0,0
CODDOC0381,39,married,secundaria,no,0,si,no,30,53,1,325,1,0
CODDOC0383,59,married,terciario,no,9676,no,no,27,234,2,-1,0,1
CODDOC0385,41,married,primaria,no,8,si,no,15,155,2,-1,0,0
CODDOC0386,45,married,primaria,no,61,no,no,17,108,1,-1,0,0
CODDOC0387,48,married,terciario,no,6613,no,no,17,159,3,-1,0,0
CODDOC0393,64,married,desconocido,no,2923,no,no,12,120,1,-1,0,0
CODDOC0396,41,married,secundaria,no,288,si,no,15,221,4,-1,0,0
CODDOC0397,34,married,secundaria,no,613,si,no,4,80,1,-1,0,0
CODDOC0400,39,married,primaria,no,7685,si,no,14,493,3,-1,0,0
CODDOC0404,48,married,primaria,si,-285,no,si,19,157,1,-1,0,0
CODDOC0406,45,married,secundaria,no,3098,si,no,7,159,2,-1,0,0
CODDOC0408,39,married,secundaria,no,130,no,no,8,202,2,-1,0,0
CODDOC0410,54,married,secundaria,no,0,no,no,28,161,1,98,2,1
CODDOC0412,34,single,secundaria,no,186,no,no,2,342,1,-1,0,0
CODDOC0416,49,divorced,terciario,no,755,no,no,31,1212,4,-1,0,1
CODDOC0417,31,single,secundaria,no,2070,no,no,29,319,2,-1,0,0
CODDOC0422,37,married,terciario,no,502,si,no,7,551,1,351,1,0
CODDOC0425,36,single,secundaria,no,342,si,no,7,142,1,-1,0,0
CODDOC0426,29,single,primaria,no,950,si,no,4,135,3,-1,0,0
CODDOC0428,26,married,terciario,no,3825,si,no,13,107,1,-1,0,0
CODDOC0431,53,married,primaria,no,995,no,no,4,200,3,-1,0,0
CODDOC0439,36,married,secundaria,no,644,si,no,18,54,2,-1,0,0
CODDOC0440,44,married,terciario,no,22,si,no,6,265,2,-1,0,0
CODDOC0442,30,single,secundaria,no,239,si,no,7,115,3,-1,0,0
CODDOC0443,42,single,secundaria,no,275,no,no,26,31,8,-1,0,0
CODDOC0444,30,married,terciario,no,1221,si,no,25,279,4,-1,0,1
CODDOC0445,62,married,secundaria,no,816,no,no,1,28,2,-1,0,0
CODDOC0449,47,married,secundaria,no,2,no,no,10,89,1,-1,0,0
CODDOC0450,39,married,terciario,no,2,si,no,17,180,1,-1,0,0
CODDOC0453,27,married,secundaria,no,1577,si,si,28,266,2,-1,0,0
CODDOC0454,32,married,secundaria,no,34,si,no,5,321,2,-1,0,0
CODDOC0455,44,married,terciario,no,795,no,no,28,99,24,-1,0,0
CODDOC0456,42,married,secundaria,no,117,si,no,9,147,1,-1,0,0
CODDOC0457,34,single,terciario,no,5462,no,no,30,430,1,-1,0,1
CODDOC0458,25,single,secundaria,no,402,no,si,7,264,1,-1,0,0
CODDOC0463,45,divorced,terciario,no,0,no,no,1,5,1,-1,0,0
CODDOC0464,35,divorced,secundaria,no,3102,si,no,20,138,1,-1,0,0
CODDOC0467,34,married,secundaria,no,-370,si,no,21,748,1,-1,0,0
CODDOC0468,39,married,terciario,no,-606,si,no,26,142,1,-1,0,0
CODDOC0469,40,single,secundaria,no,10378,si,no,17,523,3,-1,0,0
CODDOC0470,36,single,primaria,no,1313,si,no,20,8,10,-1,0,0
CODDOC0471,40,married,terciario,no,8969,si,no,17,153,1,-1,0,0
CODDOC0472,55,married,secundaria,no,-196,si,no,20,210,2,-1,0,0
CODDOC0475,41,married,terciario,no,666,si,no,21,253,3,-1,0,0
CODDOC0476,57,married,primaria,no,452,si,no,13,139,4,-1,0,0
CODDOC0477,48,married,secundaria,no,149,si,no,9,71,1,-1,0,0
CODDOC0479,35,married,secundaria,no,1453,si,no,28,199,1,-1,0,0
CODDOC0482,56,single,secundaria,no,237,si,no,9,236,4,-1,0,0
CODDOC0488,52,married,primaria,no,779,si,no,16,30,3,-1,0,0
CODDOC0489,55,single,primaria,no,1187,si,no,2,193,2,-1,0,0
CODDOC0490,33,married,terciario,no,641,si,no,13,347,2,-1,0,0
CODDOC0492,33,divorced,secundaria,no,991,si,no,27,148,1,-1,0,0
CODDOC0498,34,single,secundaria,no,4943,si,si,19,117,2,-1,0,0
CODDOC0500,42,single,terciario,no,515,si,no,19,501,2,-1,0,0
CODDOC0501,32,single,terciario,no,12607,no,no,14,203,5,84,1,0
CODDOC0502,58,married,secundaria,no,2,si,si,25,282,9,-1,0,0
CODDOC0503,31,married,terciario,no,13,no,no,28,110,5,-1,0,0
CODDOC0504,19,single,primaria,no,103,no,no,10,104,2,-1,0,1
CODDOC0505,41,married,terciario,no,3872,no,no,15,231,1,-1,0,0
CODDOC0506,31,married,secundaria,no,296,si,no,20,378,3,-1,0,0
CODDOC0510,30,single,secundaria,no,315,no,no,23,1407,1,-1,0,1
CODDOC0511,38,married,secundaria,no,121,si,si,6,168,1,212,2,0
CODDOC0513,52,married,secundaria,no,195,si,no,18,220,1,63,5,1
CODDOC0517,34,married,terciario,no,691,si,si,2,70,1,-1,0,0
CODDOC0521,54,married,secundaria,no,0,no,no,19,220,1,-1,0,0
CODDOC0523,43,divorced,secundaria,no,738,si,no,21,585,4,191,4,0
CODDOC0527,27,married,secundaria,no,1033,si,no,9,1713,1,-1,0,0
CODDOC0532,58,married,primaria,no,76,si,no,18,54,4,-1,0,0
CODDOC0538,26,single,secundaria,no,63,no,no,28,76,4,-1,0,0
CODDOC0539,40,married,terciario,no,0,no,no,19,44,1,-1,0,0
CODDOC0544,48,married,secundaria,no,157,si,no,6,73,1,-1,0,0
CODDOC0545,49,married,secundaria,no,2465,no,no,20,157,3,-1,0,0
CODDOC0546,35,married,primaria,no,0,si,no,24,90,6,-1,0,0
CODDOC0550,28,single,secundaria,no,378,si,no,17,346,1,-1,0,0
CODDOC0553,63,married,secundaria,no,2747,no,no,11,113,1,80,1,0
CODDOC0554,42,married,terciario,no,1932,si,no,16,192,32,-1,0,0
CODDOC0558,43,single,terciario,no,1304,no,no,6,501,2,-1,0,1
CODDOC0560,47,divorced,secundaria,no,2914,si,no,18,405,13,-1,0,0
CODDOC0565,35,married,secundaria,no,-339,si,no,8,389,2,-1,0,0
CODDOC0567,26,single,terciario,no,211,no,no,29,168,3,-1,0,0
CODDOC0568,36,divorced,terciario,no,3611,si,no,4,347,3,-1,0,0
CODDOC0569,59,married,primaria,no,0,no,no,30,3025,2,-1,0,0
CODDOC0571,46,married,desconocido,no,242,si,no,9,332,2,-1,0,0
CODDOC0573,53,married,terciario,no,1319,si,no,16,427,1,150,1,0
CODDOC0575,35,divorced,secundaria,no,67,si,no,5,192,2,-1,0,0
CODDOC0577,44,married,secundaria,no,0,si,si,11,161,1,-1,0,0
CODDOC0579,49,married,secundaria,no,171,no,no,4,19,3,175,2,0
CODDOC0580,33,single,terciario,no,696,no,si,5,193,1,176,8,0
CODDOC0583,31,married,secundaria,no,236,si,si,4,211,3,-1,0,0
CODDOC0584,33,single,terciario,no,-53,no,no,29,617,2,-1,0,0
CODDOC0585,52,married,secundaria,no,192,si,no,23,61,2,-1,0,0
CODDOC0586,43,divorced,terciario,no,38,si,no,25,197,6,-1,0,0
CODDOC0588,36,married,terciario,no,16,si,si,18,95,4,-1,0,0
CODDOC0590,43,married,secundaria,no,105,no,si,4,668,2,-1,0,0
CODDOC0591,45,married,terciario,no,334,no,no,5,87,2,-1,0,0
CODDOC0593,41,married,secundaria,no,108,si,si,13,83,7,-1,0,0
CODDOC0594,31,married,secundaria,no,660,no,no,22,115,1,-1,0,0
CODDOC0599,60,divorced,desconocido,no,-49,si,no,29,188,1,261,2,0
CODDOC0600,43,divorced,secundaria,no,1413,si,no,28,75,3,-1,0,0
CODDOC0601,58,divorced,terciario,no,264,si,si,8,523,3,-1,0,0
CODDOC0602,52,married,terciario,no,54,si,si,18,103,1,-1,0,0
CODDOC0603,50,married,primaria,no,12519,si,no,17,146,2,147,4,0
CODDOC0604,32,single,secundaria,no,2881,no,no,2,356,1,-1,0,1
CODDOC0605,42,married,primaria,no,0,si,no,17,71,1,-1,0,0
CODDOC0606,31,married,secundaria,no,88,si,si,8,189,2,-1,0,0
CODDOC0608,36,divorced,terciario,no,119,no,no,23,127,8,-1,0,0
CODDOC0610,46,married,terciario,no,342,si,si,5,84,1,-1,0,0
CODDOC0612,32,married,secundaria,no,14,si,no,2,171,1,-1,0,0
CODDOC0614,41,married,terciario,no,231,no,no,7,352,2,-1,0,1
CODDOC0617,28,single,terciario,no,231,si,si,25,568,2,-1,0,0
CODDOC0618,31,single,secundaria,no,36,no,no,27,105,2,-1,0,0
CODDOC0622,30,single,terciario,no,6619,si,no,21,239,8,-1,0,0
CODDOC0623,32,single,secundaria,no,-84,si,no,11,426,1,-1,0,0
CODDOC0624,40,single,terciario,no,1509,no,no,12,333,1,58,3,0
CODDOC0626,36,married,secundaria,no,146,si,si,15,284,2,-1,0,0
CODDOC0628,57,married,secundaria,no,374,si,si,16,236,1,-1,0,0
CODDOC0629,45,married,secundaria,no,88,no,no,29,150,2,-1,0,0
CODDOC0632,33,married,terciario,no,8023,no,no,30,107,1,105,3,0
CODDOC0633,52,married,secundaria,no,289,si,no,21,45,13,-1,0,0
CODDOC0637,41,divorced,primaria,no,2195,si,no,3,211,5,-1,0,0
CODDOC0638,31,married,secundaria,no,33,no,no,6,165,4,-1,0,0
CODDOC0641,57,divorced,desconocido,no,887,no,no,20,43,8,-1,0,0
CODDOC0642,56,married,desconocido,no,0,no,no,20,471,2,-1,0,0
CODDOC0643,53,single,secundaria,no,1178,si,no,15,295,2,-1,0,0
CODDOC0644,39,married,terciario,no,2763,si,no,2,526,2,-1,0,1
CODDOC0645,32,single,terciario,no,890,si,si,28,27,10,-1,0,0
CODDOC0648,46,divorced,terciario,no,6269,si,no,18,249,3,112,2,0
CODDOC0649,29,married,secundaria,no,178,si,no,5,231,4,-1,0,0
CODDOC0651,33,single,terciario,no,23663,si,no,16,199,2,146,2,0
CODDOC0656,59,married,primaria,no,0,si,no,26,104,7,-1,0,0
CODDOC0658,64,married,primaria,no,43,no,no,11,117,1,91,1,0
CODDOC0661,36,divorced,secundaria,no,666,si,si,3,190,1,133,1,0
CODDOC0663,38,single,terciario,no,25,si,no,1,232,2,-1,0,1
CODDOC0664,53,married,primaria,no,1034,si,no,19,854,2,170,3,0
CODDOC0665,46,single,secundaria,no,324,si,no,30,293,6,-1,0,0
CODDOC0668,55,married,primaria,no,621,no,si,2,114,1,208,1,0
CODDOC0669,55,divorced,secundaria,no,138,no,no,17,205,1,-1,0,0
CODDOC0672,44,married,secundaria,no,310,si,no,6,200,1,253,1,0
CODDOC0673,32,married,desconocido,no,73,si,no,21,158,1,135,1,0
CODDOC0675,41,divorced,secundaria,no,1281,no,no,31,45,3,-1,0,0
CODDOC0677,58,single,terciario,no,2,si,no,11,168,3,-1,0,0
CODDOC0681,28,single,desconocido,no,174,no,no,28,184,1,-1,0,0
CODDOC0682,31,married,secundaria,no,251,no,si,29,156,2,-1,0,0
CODDOC0685,28,single,secundaria,no,168,no,no,1,347,3,140,2,1
CODDOC0686,46,married,secundaria,no,1550,si,no,16,126,2,149,8,0
CODDOC0687,47,married,terciario,no,7708,si,no,21,157,5,-1,0,0
CODDOC0693,33,single,primaria,no,599,si,no,21,29,1,-1,0,0
CODDOC0694,53,married,desconocido,no,28,no,no,31,117,2,-1,0,0
CODDOC0698,34,married,secundaria,no,0,si,no,15,144,1,-1,0,0
CODDOC0699,36,single,secundaria,no,340,no,si,16,559,3,-1,0,0
CODDOC0700,35,married,terciario,no,0,no,no,5,74,1,168,4,0
CODDOC0701,29,married,secundaria,no,3,si,no,10,183,1,-1,0,0
CODDOC0703,32,divorced,terciario,no,874,no,no,12,1282,6,-1,0,1
CODDOC0704,48,married,secundaria,no,705,no,no,13,108,2,-1,0,0
CODDOC0711,46,married,primaria,no,67,no,no,24,9,1,-1,0,0
CODDOC0714,25,single,secundaria,no,1790,no,no,17,224,1,322,3,0
CODDOC0717,45,married,secundaria,no,115,no,no,11,209,4,-1,0,0
CODDOC0718,40,married,terciario,no,10786,no,no,20,111,3,-1,0,0
CODDOC0719,40,married,secundaria,no,498,si,no,8,55,2,298,4,0
CODDOC0721,48,married,terciario,no,810,no,no,6,383,1,-1,0,0
CODDOC0722,31,single,terciario,no,-162,si,no,18,380,1,-1,0,0
CODDOC0724,34,married,secundaria,no,586,si,si,8,224,2,-1,0,0
CODDOC0726,31,married,terciario,no,1010,si,no,15,385,3,364,9,0
CODDOC0727,37,single,terciario,no,509,si,no,6,133,1,-1,0,0
CODDOC0730,47,single,terciario,no,153,si,no,18,192,2,-1,0,0
CODDOC0733,50,married,terciario,no,3463,no,si,28,96,1,-1,0,1
CODDOC0734,33,married,secundaria,no,1158,si,no,20,25,2,-1,0,0
CODDOC0737,52,divorced,secundaria,no,204,no,no,7,134,2,-1,0,0
CODDOC0741,57,married,terciario,no,3250,no,no,20,162,3,-1,0,0
